11:40:42  [main] 	Initializing Control Panel
11:40:42  [main] 	Windows Version:  Enterprise  64-bit
11:40:42  [main] 	XAMPP Version: 7.4.29
11:40:42  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
11:40:42  [main] 	You are not running with administrator rights! This will work for
11:40:42  [main] 	most application stuff but whenever you do something with services
11:40:42  [main] 	there will be a security dialogue or things will break! So think 
11:40:42  [main] 	about running this application with administrator rights!
11:40:42  [main] 	XAMPP Installation Directory: "c:\xampp\"
11:40:42  [main] 	Checking for prerequisites
11:40:42  [main] 	All prerequisites found
11:40:42  [main] 	Initializing Modules
11:40:42  [main] 	Starting Check-Timer
11:40:42  [main] 	Control Panel Ready
11:40:46  [Apache] 	Attempting to start Apache app...
11:40:47  [Apache] 	Status change detected: running
11:40:47  [mysql] 	Attempting to start MySQL app...
11:40:47  [mysql] 	Status change detected: running
18:21:33  [main] 	Deinitializing Modules
18:21:33  [main] 	Deinitializing Control Panel

